,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
816,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.23809523809523808,0.0,0.874,1.0,1.0,1,0.5993047619047619
104,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.14285714285714285,0.0,0.9199999999999999,1.0,1.0,1,0.5991428571428571
142,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.8480000000000001,1.0,1.0,1,0.5990857142857142
777,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.2857142857142857,0.0,0.837,1.0,1.0,1,0.5979857142857142
678,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.25396825396825395,0.0,0.85,1.0,1.0,1,0.5976984126984127
736,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.23809523809523808,0.8550000000000001,0.0,1.0,1.0,1,0.5974047619047619
1092,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,0.0,0.85,1.0,1.0,1,0.596111111111111
384,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.1746031746031746,0.0,0.8539999999999999,1.0,1.0,1,0.5941301587301587
926,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.20634920634920634,0.0,0.836,1.0,1.0,1,0.5939174603174603
170,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.30158730158730157,0.0,0.778,1.0,1.0,1,0.592879365079365
1030,1.0,0.6666666666666666,0.0,0.3333333333333333,0.2857142857142857,0.763,0.0,1.0,1.0,1,0.5905857142857143
280,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.23809523809523808,0.0,0.7849999999999999,1.0,1.0,1,0.5904047619047619
653,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.1746031746031746,0.8119999999999999,0.0,1.0,1.0,1,0.5899301587301586
193,1.0,0.6666666666666666,0.0,0.3333333333333333,0.1746031746031746,0.0,0.8099999999999999,1.0,1.0,1,0.5897301587301587
220,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.751,0.7,1.0,1.0,1,0.5895444444444444
90,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.15873015873015872,0.0,0.794,1.0,1.0,1,0.5873365079365079
917,0.6666666666666666,0.6666666666666666,0.0,0.0,0.06349206349206349,0.8,0.7,1.0,1.0,1,0.5865079365079364
36,1.0,0.6666666666666666,1.0,1.0,0.36507936507936506,0.0,0.0,1.0,0.0,1,0.584920634920635
786,1.0,1.0,1.0,1.0,0.1746031746031746,0.0,0.75,0.0,0.0,1,0.5837301587301588
814,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1,0.5833333333333333
672,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.06349206349206349,0.759,0.697,1.0,1.0,1,0.5821079365079365
742,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.23809523809523808,0.0,0.7,1.0,1.0,1,0.5819047619047619
300,1.0,0.0,0.6666666666666666,0.0,0.4603174603174603,0.922,0.0,1.0,1.0,1,0.5818825396825397
265,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.30158730158730157,0.0,0.0,1.0,1.0,1,0.5817460317460317
813,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.38095238095238093,0.0,0.9550000000000001,1.0,1.0,1,0.5812142857142857
332,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.12698412698412698,0.743,0.0,1.0,1.0,1,0.5806492063492064
479,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.23809523809523808,0.0,0.0,1.0,1.0,1,0.5785714285714285
854,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4603174603174603,0.0,0.8800000000000001,1.0,0.0,1,0.5776825396825397
1035,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,0.0,0.663,1.0,1.0,1,0.5774111111111111
663,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.07936507936507936,0.732,0.0,1.0,1.0,1,0.5771682539682539
210,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.31746031746031744,0.0,0.9460000000000001,1.0,1.0,1,0.5771396825396825
1065,0.6666666666666666,0.6666666666666666,0.0,0.0,0.047619047619047616,0.8320000000000001,0.568,1.0,1.0,1,0.5757142857142856
